Month,Consumption,Bill
2021-05,853,6909
2021-06,858,6950
2021-07,801,6488
2021-08,712,5767
2021-09,699,5662
2021-10,731,5921
2021-11,813,6585
2021-12,693,5613
2022-01,677,5484
2022-02,755,6116
2022-03,856,6934
2022-04,778,6302
2022-05,762,6172
2022-06,808,6545
2022-07,776,6286
2022-07,826,6691
2022-08,675,5468
2022-09,779,6310
2022-10,818,6626
2022-11,861,6974
2022-12,692,5605
2023-01,777,6294
2023-02,706,5719
2023-03,697,5646
2023-04,913,7395
2023-05,811,6569
2023-06,895,7250
2023-07,870,7047
2023-08,733,5937
2023-09,747,6051
2023-10,725,5872
2023-11,839,6796
2023-12,851,6893
2024-01,766,6205
2024-02,843,6828
2024-03,720,5832
2024-04,754,6107
2024-05,763,6180
2024-06,768,6221
2024-07,778,6302
2024-08,783,6342
2024-09,749,6067
2024-10,744,6026
2024-11,791,6407
2024-12,676,5476
2025-01,719,5824
2025-02,696,5638
2025-03,790,6399
2025-04,758,6140
2025-05,768,6221
2025-06,865,7006
2025-07,868,7031
2025-08,716,5800
2025-09,859,6958
2025-10,760,6156
2025-11,836,6772
2025-12,713,5775
2026-01,683,5532
2026-02,687,5565
2026-03,764,6188
